airline_iata,airline,callsign,country
1T,1Time Airline,NEXTIME,South Africa
Q5,40-Mile Air,MILE-AIR,United States
M3,ABSA - Aerolinhas Brasileiras,ABSA Cargo,Brazil
GB,ABX Air,ABEX,United States
VX,ACES Colombia,ACES,Colombia
Z7,ADC Airlines,ADCO,Nigeria
IW,AOM French Airlines,French Lines,France
TZ,ATA Airlines,AMTRAN,United States
V8,ATRAN Cargo Airlines,ATRAN,Russian Federation
J6,AVCOM,AERO AVCOM,Russia
1B,Abacus International,,Singapore
K5,Aban Air,ABAN,Iran
W9,Abelag Aviation,ABG,Belgium
MO,Abu Dhabi Amiri Flight,SULTAN,United Arab Emirates
ZA,Access Air,CYCLONE,United States
ZY,Ada Air,ADA AIR,Albania
KI,Adam Air,ADAM SKY,Indonesia
JP,Adria Airways,ADRIA,Slovenia
4G,Advance Leasing Company,,United States
A3,Aegean Airlines,AEGEAN,Greece
RE,Aer Arann,AER ARANN,Ireland
EI,Aer Lingus,SHAMROCK,Ireland
4M,Aero 2000,LAN AR,Argentina
EE,Aero Airlines,REVAL,Estonia
E4,Aero Asia International,AERO ASIA,Pakistan
EM,Aero Benin,AEROBEN,Benin
JR,Aero California,AEROCALIFORNIA,Mexico
Q6,Aero Condor Peru,CONDOR-PERU,Peru
AJ,Aero Contractors,AEROLINE,Nigeria
GV,Aero Flight,Aero Fox,Germany
QL,Aero Lanka,AERO LANKA,Sri Lanka
W4,Aero Services Executive,BIRD EXPRESS,France
2D,Aero VIP,AVIP,Argentina
DW,Aero-Charter Ukraine,CHARTER UKRAINE,Ukraine
BF,Aero-Service,CONGOSERV,Republic of the Congo
HC,Aero-Tropics Air Services,,Australia
P5,AeroRepública,AEROREPUBLICA,Colombia
2B,Aerocondor,AEROCONDOR,Portugal
SU,Aeroflot Russian Airlines,AEROFLOT,Russia
D9,Aeroflot-Don,DONAVIA,Russia
5N,Aeroflot-Nord,DVINA,Russia
3S,Aeroland Airways,,Greece
XL,Aerolane,LAN ECUADOR,Ecuador
7E,Aeroline GmbH,SYLT-AIR,Germany
AR,Aerolineas Argentinas,ARGENTINA,Argentina
2K,Aerolineas Galapagos (Aerogal),AEROGAL,Ecuador
5D,Aerolitoral,COSTERA,Mexico
BQ,Aeromar,BRAVO QUEBEC,Dominican Republic
VW,Aeromar,TRANS-AEROMAR,Mexico
QO,Aeromexpress,AEROMEXPRESS,Mexico
HT,Aeromist-Kharkiv,AEROMIST,Ukraine
AM,Aeroméxico,AEROMEXICO,Mexico
OT,Aeropelican Air Services,PELICAN,Australia
PL,Aeroperú,Aeroperu,Peru
5L,Aerosur,AEROSUR,Bolivia
VV,Aerosvit Airlines,AEROSVIT,Ukraine
FK,Africa West,WEST TOGO,Togo
QS,African Safari Airways,ZEBRA,Kenya
ML,African Transport Trading and Investment Company,,Sudan
Q9,Afrinat International Airlines,,Gambia
8U,Afriqiyah Airways,AFRIQIYAH,Libya
ZI,Aigle Azur,AIGLE AZUR,France
RK,Air Afrique,AIRAFRIC,Ivory Coast
AH,Air Algérie,AIR ALGERIE,Algeria
GD,Air Alpha Greenland,AIR ALPHA,Denmark
A6,Air Alps Aviation,ALPAV,Austria
G9,Air Arabia,ARABIA,United Arab Emirates
QN,Air Armenia,AIR ARMENIA,Armenia
KC,Air Astana,ASTANALINE,Kazakhstan
CC,Air Atlanta Icelandic,ATLANTA,Iceland
UU,Air Austral,REUNION,France
BT,Air Baltic,AIRBALTIC,Latvia
B9,Air Bangladesh,AIR BANGLA,Bangladesh
AB,Air Berlin,AIR BERLIN,Germany
JA,Air Bosna,AIR BOSNA,Bosnia and Herzegovina
BP,Air Botswana,BOTSWANA,Botswana
ZB,Air Bourbon,BOURBON,Reunion
2J,Air Burkina,BURKINA,Burkina Faso
8Y,Air Burundi,AIR-BURUNDI,Burundi
SB,Air Caledonie International,AIRCALIN,France
TY,Air Calédonie,AIRCAL,France
QK,Air Canada Jazz,JAZZ,Canada
AC,Air Canada,AIR CANADA,Canada
TX,Air Caraďbes,FRENCH WEST,France
2Q,Air Cargo Carriers,NIGHT CARGO,United States
NV,Air Central,AIR CENTRAL,Japan
CV,Air Chathams,CHATHAM,New Zealand
CA,Air China,AIR CHINA,China
4F,Air City,AIRCITY,Germany
QD,Air Class Lineas Aereas,ACLA,Uruguay
GG,Air Comores International,AIR COMORES,Comoros
AG,Air Contractors,CONTRACT,Ireland
QC,Air Corridor,AIR CORRIDOR,Mozambique
H9,Air D'Ayiti,HAITI AVIA,Haiti
EN,Air Dolomiti,DOLOMOTI,Italy
UX,Air Europa,EUROPA,Spain
PE,Air Europe,AIR EUROPE,Italy
XT,Air Exel,EXEL COMMUTER,Netherlands
PC,Air Fiji,FIJIAIR,Fiji
OF,Air Finland,AIR FINLAND,Finland
QH,Air Florida,AIR FLORIDA,United States
GS,Air Foyle,FOYLE,United Kingdom
AF,Air France,AIRFRANS,France
GN,Air Gabon,GOLF NOVEMBER,Gabon
DA,Air Georgia,AIR GEORGIA,Georgia
ZX,Air Georgian,GEORGIAN,Canada
7T,Air Glaciers,AIR GLACIERS,Switzerland
GL,Air Greenland,GREENLAND,Denmark
2U,Air Guinee Express,FUTURE EXPRESS,Guinea
LD,Air Hong Kong,AIR HONG KONG,Hong Kong
8C,Air Horizon,HORIZON TOGO,Togo
NY,Air Iceland,FAXI,Iceland
IX,Air India Express,EXPRESS INDIA,India
AI,Air India Limited,AIRINDIA,India
I9,Air Italy,AIR ITALY,Italy
VU,Air Ivoire,AIRIVOIRE,Ivory Coast
JM,Air Jamaica,JAMAICA,Jamaica
NQ,Air Japan,AIR JAPAN,Japan
9Y,Air Kazakhstan,Kazakh,Kazakhstan
4A,Air Kiribati,,Kiribati
JS,Air Koryo,AIR KORYO,Democratic People's Republic of Korea
VD,Air Liberté,,France
TT,Air Lithuania,KAUNAS,Lithuania
L8,Air Luxor GB,LUXOR GOLF,Guinea-Bissau
LK,Air Luxor,AIRLUXOR,Portugal
NX,Air Macau,AIR MACAO,Macao
MD,Air Madagascar,AIR MADAGASCAR,Madagascar
NM,Air Madrid,ALADA AIR,Spain
QM,Air Malawi,MALAWI,Malawi
KM,Air Malta,AIR MALTA,Malta
6T,Air Mandalay,Six Tango,Burma
CW,Air Marshall Islands,AIR MARSHALLS,Marshall Islands
MR,Air Mauritanie,MIKE ROMEO,Mauritania
MK,Air Mauritius,AIRMAURITIUS,Mauritius
DR,Air Mediterranee,MEDITERRANEE,France
ZV,Air Midwest,AIR MIDWEST,United States
MC,Air Mobility Command,REACH,United States
9U,Air Moldova,AIR MOLDOVA,Moldova
SW,Air Namibia,NAMIBIA,Namibia
NZ,Air New Zealand,NEW ZEALAND,New Zealand
EH,Air Nippon Network Co. Ltd.,ALFA WING,Japan
EL,Air Nippon,ANK AIR,Japan
PX,Air Niugini,NUIGINI,Papua New Guinea
4N,Air North Charter - Canada,AIR NORTH,Canada
YW,Air Nostrum,AIR NOSTRUM,Spain
AP,Air One,HERON,Italy
FJ,Air Pacific,PACIFIC,Fiji
AD,Air Paradise International,RADISAIR,Indonesia
2P,Air Philippines,ORIENT PACIFIC,Philippines
A7,Air Plus Comet,RED COMET,Spain
S2,Air Sahara,SAHARA,India
PJ,Air Saint Pierre,,France
20,Air Salone,AIR SALONE,Sierra Leone
2O,Air Salone,,Sierra Leone
EX,Air Santo Domingo,AERO DOMINGO,Dominican Republic
V7,Air Senegal International,AIR SENEGAL,Senegal
G8,Air Service Gabon,,Gabon
HM,Air Seychelles,SEYCHELLES,Seychelles
