from_airport_iata,to_airport_iata,days_of_week,departure_time,arrival_time,flight_duration,flight,airline_iata,aircraft_iata
AAL,AAR,5,10:40,11:05,0:25,BA8278,BA,D38
AAL,AAR,5,20:15,20:40,0:25,BA8280,BA,D38
AAL,AAR,17,19:40,20:05,0:25,BA8280,BA,D38
AAL,OSL,2345,17:25,18:25,1:00,BA8275,BA,D38
AAL,OSL,5,7:50,8:50,1:00,BA8277,BA,D38
AAL,OSL,5,17:25,18:25,1:00,BA8279,BA,D38
AAL,OSL,1234,7:15,8:15,1:00,BA8273,BA,D38
AAL,OSL,17,16:50,17:50,1:00,BA8279,BA,D38
AAN,AMM,4,21:25,22:25,3:00,RJ615,RJ,E75
AAR,BMA,12345,16:45,18:05,1:20,BA8291,BA,D38
AAR,BMA,1234,7:15,8:35,1:20,BA8289,BA,D38
AAR,GOT,12345,16:55,17:35,0:40,BA8283,BA,J31
AAR,GOT,1234,7:45,8:25,0:40,BA8281,BA,J31
AAR,OSL,2345,16:50,18:00,1:10,BA8271,BA,D38
AAR,OSL,5,7:05,8:50,1:45,BA8277,BA,D38
AAR,OSL,5,16:40,18:25,1:45,BA8279,BA,D38
AAR,OSL,1234,7:20,8:30,1:10,BA8269,BA,D38
AAR,OSL,17,16:05,17:50,1:45,BA8279,BA,D38
ABC,BCN,123456,7:25,8:40,1:15,IB8295,IB,DH3
ABI,DFW,1234567,5:50,6:45,0:55,AA3454,AA,ER4
ABI,DFW,1234567,6:35,7:30,0:55,AA3624,AA,ER4
ABI,DFW,1234567,9:35,10:30,0:55,AA3766,AA,ERD
ABI,DFW,1234567,11:00,11:55,0:55,AA3866,AA,ER4
ABI,DFW,1234567,14:20,15:10,0:50,AA3858,AA,ER4
ABI,DFW,1234567,17:45,18:40,0:55,AA3892,AA,ERD
ABI,DFW,123457,7:30,8:25,0:55,AA3448,AA,ER4
ABQ,AUS,1234567,15:55,20:25,3:30,AA1486,AA,M80
ABQ,CMH,1234567,10:20,17:05,4:45,AA1400,AA,M80
ABQ,DFW,1234567,6:00,8:40,1:40,AA2284,AA,M80
ABQ,DFW,1234567,7:10,9:55,1:45,AA2030,AA,M80
ABQ,DFW,1234567,9:05,11:45,1:40,AA446,AA,M80
ABQ,DFW,1234567,10:20,13:00,1:40,AA1400,AA,M80
ABQ,DFW,1234567,11:55,14:35,1:40,AA1002,AA,M80
ABQ,DFW,1234567,14:10,16:50,1:40,AA1474,AA,M80
ABQ,DFW,1234567,15:55,18:35,1:40,AA1486,AA,M80
ABQ,DFW,123457,17:05,19:50,1:45,AA885,AA,M80
ABQ,MTY,123457,17:05,22:30,4:25,AA885,AA,M80
ABQ,ORD,1234567,8:00,11:45,2:45,AA4196,AA,CR7
ABQ,ORD,1234567,13:05,16:50,2:45,AA4351,AA,CR7
ABQ,STL,1234567,9:05,14:10,4:05,AA446,AA,M80
ABV,LHR,1234567,10:15,15:35,6:20,BA82,BA,777
ABX,SYD,5,9:50,10:55,1:05,QF2206,QF,DH4
ABX,SYD,1234567,9:35,10:40,1:05,QF2206,QF,DH4
ABX,SYD,67,13:40,15:00,1:20,QF2210,QF,DH3
ABX,SYD,4,6:30,7:50,1:20,QF2202,QF,DH3
ABX,SYD,57,13:40,15:00,1:20,QF2210,QF,DH3
ABX,SYD,67,9:40,11:00,1:20,QF2206,QF,DH3
ABX,SYD,12345,9:35,10:40,1:05,QF2206,QF,DH4
ABX,SYD,1234567,16:50,17:55,1:05,QF2214,QF,DH4
ABZ,LHR,1356,19:35,21:10,1:35,BA1315,BA,319
ABZ,LHR,1456,19:35,21:10,1:35,BA1315,BA,319
ABZ,LHR,123457,20:10,21:45,1:35,BA1317,BA,319
ABZ,LHR,2345,19:35,21:10,1:35,BA1315,BA,319
ABZ,LHR,12457,20:10,21:45,1:35,BA1317,BA,319
ABZ,LHR,1234567,11:40,13:15,1:35,BA1307,BA,320
ABZ,LHR,1234567,17:15,18:50,1:35,BA1313,BA,320
ABZ,LHR,12345,6:25,8:05,1:40,BA1301,BA,321
ABZ,LHR,12345,15:00,16:30,1:30,BA1309,BA,319
ABZ,LHR,345,9:40,11:15,1:35,BA1305,BA,320
ABZ,LHR,67,8:20,9:50,1:30,BA1303,BA,320
ACA,AUS,13457,14:30,19:35,5:05,AA2264,AA,M80
ACA,DFW,134567,14:30,17:20,2:50,AA2264,AA,M80
ACA,DFW,6,13:30,16:20,2:50,AA2476,AA,M80
ACA,ORD,6,16:05,20:20,4:15,AA2520,AA,M83
ACC,LHR,1234567,23:35,6:45,7:10,BA78,BA,767
ACE,AGP,7,12:20,15:20,2:00,IB8089,IB,CR9
ACE,AGP,1256,14:50,17:50,2:00,IB8089,IB,CR9
ACE,MAD,1234567,14:35,17:55,2:20,IB843,IB,321
ACE,SVQ,7,20:45,23:45,2:00,IB8187,IB,CR2
ACE,SVQ,145,11:50,14:50,2:00,IB8187,IB,CR2
ACE,SVQ,7,20:00,23:00,2:00,IB8187,IB,CR2
ACE,SVQ,1245,11:50,14:50,2:00,IB8187,IB,CR2
ACE,SVQ,6,12:15,15:15,2:00,IB8187,IB,CR2
ACT,DFW,1234567,11:15,12:00,0:45,AA3364,AA,ER4
ACT,DFW,1567,11:25,12:10,0:45,AA3364,AA,ER4
ACT,DFW,1234567,6:00,6:45,0:45,AA3366,AA,ER4
ACT,DFW,1234567,15:30,16:10,0:40,AA3384,AA,ER4
ACT,DFW,1234567,17:45,18:30,0:45,AA3374,AA,ER4
ADB,LGW,156,17:45,20:00,4:15,BA2671,BA,734
ADB,LGW,7,14:45,17:00,4:15,BA2671,BA,734
ADE,AMM,26,6:25,9:00,3:35,RJ717,RJ,E95
ADL,ASP,1234567,9:45,10:55,2:10,QF723,QF,73H
ADL,BNE,1,19:50,21:45,2:25,QF656,QF,73H
ADL,BNE,123457,19:40,21:35,2:25,QF656,QF,73H
ADL,BNE,6,12:15,14:10,2:25,QF1222,QF,734
ADL,BNE,123457,19:40,21:35,2:25,QF656,QF,73H
ADL,BNE,1234567,6:15,8:10,2:25,QF660,QF,73H
ADL,BNE,1234567,15:25,17:20,2:25,QF664,QF,73H
ADL,CBR,12345,6:40,8:50,1:40,QF706,QF,734
ADL,CBR,123457,19:00,21:10,1:40,QF708,QF,734
ADL,DRW,1234567,8:40,11:25,3:45,QF754,QF,73H
ADL,HKG,1234567,12:15,21:45,12:00,CX104,CX,333
ADL,MEL,1234567,9:10,10:55,1:15,QF676,QF,734
ADL,MEL,23457,10:40,12:25,1:15,QF680,QF,734
ADL,MEL,12,11:40,13:25,1:15,QF682,QF,73H
ADL,MEL,134567,12:40,14:25,1:15,QF684,QF,73H
ADL,MEL,12,11:55,13:40,1:15,QF682,QF,734
ADL,MEL,123456,10:40,12:25,1:15,QF680,QF,734
ADL,MEL,1234567,12:40,14:25,1:15,QF684,QF,73H
ADL,MEL,123457,11:40,13:25,1:15,QF682,QF,73H
ADL,MEL,123457,18:05,19:50,1:15,QF694,QF,73H
ADL,MEL,12345,6:45,8:30,1:15,QF672,QF,734
ADL,MEL,12345,19:25,21:10,1:15,QF696,QF,73H
ADL,MEL,5,8:50,10:55,1:35,QF82,QF,333
ADL,MEL,15,11:40,13:25,1:15,QF682,QF,73H
ADL,MEL,1234567,10:40,12:25,1:15,QF680,QF,734
ADL,MEL,234567,12:40,14:25,1:15,QF684,QF,73H
ADL,MEL,12345,18:05,19:50,1:15,QF694,QF,73H
ADL,MEL,57,19:25,21:10,1:15,QF696,QF,73H
